order_id,order_date,customer_segment,region,product_category,customer_age,quantity,unit_price,discount_pct,revenue,rating,delivery_days,shipping_cost
101482,2024-09-04 00:00:00,Corporate,West,Furniture,68.0,1.0,$341.57,0.335,227.14,3.1,3.0,23.5
100798,2024-05-13 00:00:00,Corporate,West,Office Supplies,50.0,3.0,$18.04,0.229,41.73,4.8,6.0,
100436,2024-03-13 16:00:00,Consumer,East,Office Supplies,27.0,2.0,$14.29,0.136,24.69,4.1,6.0,2.36
101193,2024-07-17 20:00:00,Home Office,West,Office Supplies,58.0,2.0,$41.05,0.034,79.31,3.7,5.0,15.8
100259,2024-02-13 04:00:00,Corporate,South,Electronics,47.0,1.0,$150.27,0.237,114.66,,3.0,8.96
100694,2024-04-25 16:00:00,Home Office,West,Furniture,,3.0,$418.47,0.173,1038.22,2.5,5.0,
101176,2024-07-15 00:00:00,Consumer,West,Electronics,52.0,5.0,$171.67,0.296,604.28,2.9,6.0,9.49
100965,2024-06-09 20:00:00,Consumer,East,Electronics,65.0,5.0,$201.40,0.116,890.19,2.5,7.0,
100132,2024-01-23 00:00:00,Corporate,Central,Furniture,24.0,2.0,$306.08,0.148,521.56,,4.0,
101580,2024-09-20 08:00:00,Home Office,West,Office Supplies,39.0,2.0,$7.21,0.087,13.17,4.5,8.0,
100385,2024-03-05 04:00:00,Home Office,West,Clothing,29.0,1.0,$49.62,0.43,28.28,5.0,,7.9
100596,2024-04-09 08:00:00,Corporate,North,Furniture,49.0,4.0,$379.62,0.045,15810.393928092535,5.0,3.0,20.81
100538,2024-03-30 16:00:00,Consumer,North,Electronics,62.0,32.0,$229.78,0.048,218.75,5.0,3.0,
101394,2024-08-20 08:00:00,Corporate,West,Furniture,33.0,3.0,$241.87,0.099,653.77,3.9,7.0,24.12
100253,2024-02-12 04:00:00,Consumer,East,Office Supplies,51.0,2.0,$35.36,0.159,59.48,2.1,4.0,1.64
100820,2024-05-16 16:00:00,Consumer,South,Office Supplies,32.0,3.0,$38.33,0.166,95.9,3.1,3.0,
100016,2024-01-03 16:00:00,Corporate,South,Electronics,45.0,2.0,$212.90,0.221,331.7,4.1,6.0,5.49
100916,2024-06-01 16:00:00,Consumer,South,Office Supplies,47.0,5.0,$22.92,0.23,88.24,4.6,3.0,8.47
100726,2024-05-01 00:00:00,Consumer,West,Office Supplies,39.0,3.0,$26.02,0.186,63.54,3.2,5.0,
100983,2024-06-12 20:00:00,Consumer,East,Electronics,43.0,4.0,$285.15,0.184,930.73,2.7,3.0,14.03
100237,2024-02-09 12:00:00,Corporate,South,Clothing,44.0,5.0,$107.24,0.033,518.51,5.0,2.0,10.85
101088,2024-06-30 08:00:00,Consumer,East,Clothing,,4.0,$34.60,0.15,117.64,5.0,4.0,
100146,2024-01-25 08:00:00,Consumer,North,Electronics,33.0,1.0,$187.71,0.114,166.31,4.9,3.0,
101660,2024-10-03 16:00:00,Consumer,North,Furniture,36.0,4.0,$280.44,0.036,1081.38,3.3,,25.86
100833,2024-05-18 20:00:00,Corporate,West,Office Supplies,25.0,3.0,$11.66,0.087,31.94,4.3,,4.73
101736,2024-10-16 08:00:00,Home Office,South,Office Supplies,38.0,3.0,$20.23,0.078,,3.9,4.0,
100233,2024-02-08 20:00:00,Corporate,Central,Office Supplies,68.0,2.0,$32.26,0.426,37.03,3.4,2.0,3.12
101598,2024-09-23 08:00:00,Corporate,Central,Office Supplies,,5.0,$24.11,0.339,597.8412240224802,4.2,4.0,14.41
101943,2024-11-19 20:00:00,Consumer,East,Office Supplies,24.0,2.0,$14.11,0.386,17.33,2.9,7.0,10.49
100329,2024-02-24 20:00:00,Consumer,East,Clothing,21.0,5.0,$50.56,0.176,208.31,4.4,7.0,10.83
100831,2024-05-18 12:00:00,Corporate,East,Electronics,72.0,1.0,$224.10,0.537,103.76,4.5,5.0,13.85
100724,2024-04-30 16:00:00,Consumer,North,Electronics,74.0,5.0,$320.66,0.219,1252.18,5.0,4.0,
100392,2024-03-06 08:00:00,Corporate,South,Office Supplies,,3.0,$11.12,0.169,27.72,,2.0,4.6
101230,2024-07-24 00:00:00,Consumer,South,Office Supplies,73.0,4.0,$36.06,0.273,104.86,4.8,3.0,8.52
101345,2024-08-12 04:00:00,Corporate,West,Electronics,49.0,3.0,$183.86,0.333,367.9,3.7,5.0,
100885,2024-05-27 12:00:00,Consumer,South,Office Supplies,42.0,5.0,$40.58,0.172,168.0,4.6,,13.13
100317,2024-02-22 20:00:00,Corporate,West,Office Supplies,26.0,1.0,$16.03,0.148,13.66,4.7,7.0,9.32
101953,2024-11-21 12:00:00,Home Office,West,Electronics,23.0,5.0,$212.31,0.304,738.84,3.2,4.0,
101307,2024-08-05 20:00:00,Corporate,North,Electronics,21.0,3.0,$313.64,0.177,774.38,3.7,4.0,
100390,2024-03-06 00:00:00,Corporate,East,Electronics,22.0,1.0,$179.35,0.215,140.79,3.8,5.0,10.04
100451,2024-03-16 04:00:00,Home Office,West,Clothing,60.0,1.0,$29.95,0.062,28.09,4.5,5.0,8.37
101988,2024-11-27 08:00:00,Home Office,Central,Clothing,39.0,4.0,$35.15,0.234,107.7,4.6,3.0,5.68
101168,2024-07-13 16:00:00,Corporate,North,Electronics,33.0,2.0,$166.58,0.08,306.51,5.0,3.0,13.1
101257,2024-07-28 12:00:00,Corporate,South,Furniture,47.0,2.0,$305.13,0.094,552.9,4.9,5.0,16.08
101607,2024-09-24 20:00:00,Consumer,South,Office Supplies,67.0,2.0,$21.34,0.122,37.47,3.0,4.0,4.73
101794,2024-10-26 00:00:00,Home Office,East,Office Supplies,47.0,3.0,$36.98,0.375,69.34,4.9,4.0,8.08
100689,2024-04-24 20:00:00,Consumer,East,Office Supplies,21.0,2.0,$27.81,0.157,46.89,5.0,5.0,1.0
101926,2024-11-17 00:00:00,Consumer,East,Office Supplies,68.0,3.0,$12.26,0.284,26.33,5.0,5.0,8.22
101216,2024-07-21 16:00:00,Consumer,South,Furniture,69.0,3.0,$109.04,0.135,282.96,3.2,5.0,22.32
100015,2024-01-03 12:00:00,Consumer,East,Office Supplies,68.0,5.0,$27.08,0.146,115.63,4.7,5.0,10.44
101358,2024-08-14 08:00:00,Corporate,West,Furniture,64.0,1.0,N/A,0.207,138.33,3.0,4.0,22.43
100725,2024-04-30 20:00:00,Consumer,West,Furniture,49.0,3.0,$365.99,0.396,663.17,3.0,7.0,
101488,2024-09-05 00:00:00,Home Office,North,Furniture,65.0,5.0,$436.59,0.334,1453.84,4.0,2.0,
100405,2024-03-08 12:00:00,Home Office,South,Office Supplies,48.0,3.0,$9.71,0.225,22.58,3.5,2.0,
100623,2024-04-13 20:00:00,Consumer,Central,Clothing,62.0,5.0,$12.45,0.598,25.02,5.0,6.0,
101856,2024-11-05 08:00:00,Consumer,West,Office Supplies,30.0,1.0,$17.74,0.113,15.74,4.0,,10.07
100587,2024-04-07 20:00:00,Consumer,North,Clothing,36.0,5.0,$17.19,0.13,74.78,3.9,1.0,11.94
100858,2024-05-23 00:00:00,Consumer,West,Electronics,23.0,5.0,$95.39,0.225,369.64,3.5,7.0,4.86
100722,2024-04-30 08:00:00,Consumer,South,Electronics,74.0,1.0,$285.06,0.055,269.38,5.0,5.0,1.0
101258,2024-07-28 16:00:00,Consumer,East,Furniture,47.0,2.0,$327.94,0.062,,4.1,3.0,29.96
101717,2024-10-13 04:00:00,Corporate,West,Clothing,46.0,2.0,$101.96,0.263,150.29,3.3,5.0,7.32
100653,2024-04-18 20:00:00,Consumer,West,Electronics,48.0,5.0,$373.23,0.243,1412.68,4.3,6.0,13.58
101039,2024-06-22 04:00:00,Consumer,East,Office Supplies,39.0,2.0,$16.43,0.281,23.63,4.8,,1.44
100977,2024-06-11 20:00:00,Consumer,West,Electronics,,1.0,$103.89,0.39,63.37,4.5,5.0,
101326,2024-08-09 00:00:00,Consumer,South,Office Supplies,26.0,5.0,$32.91,0.104,147.44,3.4,,
100832,2024-05-18 16:00:00,Consumer,East,Office Supplies,21.0,1.0,$20.44,0.171,16.94,2.9,6.0,8.98
100766,2024-05-07 16:00:00,Consumer,East,Office Supplies,58.0,3.0,$14.29,0.201,34.25,3.0,3.0,6.04
100898,2024-05-29 16:00:00,Consumer,East,Clothing,61.0,2.0,$109.59,0.294,154.74,3.5,5.0,6.87
101423,2024-08-25 04:00:00,Consumer,South,Electronics,,5.0,$152.24,0.157,641.69,4.2,5.0,7.41
101380,2024-08-18 00:00:00,Consumer,South,Electronics,59.0,3.0,$229.37,0.298,483.05,4.4,5.0,1.0
100564,2024-04-04 00:00:00,Corporate,East,Electronics,54.0,4.0,$207.30,0.146,708.14,,4.0,7.48
101249,2024-07-27 04:00:00,Home Office,East,Office Supplies,32.0,1.0,$17.42,0.115,15.42,4.1,,14.96
101361,2024-08-14 20:00:00,Consumer,South,Electronics,22.0,4.0,$316.41,0.168,1053.01,3.9,4.0,8.7
100525,2024-03-28 12:00:00,Consumer,North,Office Supplies,58.0,1.0,$5.60,0.396,3.38,3.9,4.0,
100006,2024-01-02 00:00:00,Corporate,East,Furniture,24.0,3.0,$181.80,0.271,397.6,4.0,7.0,19.54
101174,2024-07-14 16:00:00,Consumer,West,Electronics,36.0,1.0,$434.25,0.139,373.89,4.4,7.0,
101613,2024-09-25 20:00:00,Consumer,Central,Office Supplies,70.0,3.0,$10.46,0.329,21.06,4.1,4.0,
101657,2024-10-03 04:00:00,Corporate,South,Office Supplies,,4.0,$18.86,0.191,451.40581390546595,4.7,4.0,4.19
101782,2024-10-24 00:00:00,Consumer,Central,Furniture,42.0,3.0,$201.61,0.221,471.16,4.2,2.0,22.08
101815,2024-10-29 12:00:00,Consumer,South,Office Supplies,22.0,5.0,$13.06,0.069,60.79,4.5,1.0,1.12
101270,2024-07-30 16:00:00,Home Office,Central,Clothing,26.0,3.0,$33.54,0.182,,3.8,1.0,1.0
101153,2024-07-11 04:00:00,Consumer,North,Electronics,71.0,3.0,$122.23,0.275,265.85,3.8,1.0,7.1
101729,2024-10-15 04:00:00,Consumer,West,Electronics,29.0,3.0,$181.23,0.215,426.8,4.9,6.0,9.56
101486,2024-09-04 16:00:00,Home Office,West,Clothing,30.0,4.0,$28.87,0.06,108.55,3.9,5.0,5.19
101132,2024-07-07 16:00:00,Consumer,North,Electronics,58.0,4.0,$197.30,0.055,745.79,5.0,3.0,8.69
100137,2024-01-23 20:00:00,Consumer,West,Clothing,34.0,2.0,$100.33,0.236,153.3,4.6,6.0,1.0
100780,2024-05-10 00:00:00,Consumer,North,Furniture,,3.0,$179.08,0.411,316.43,4.2,3.0,
101732,2024-10-15 16:00:00,Corporate,East,Office Supplies,37.0,2.0,$13.72,0.167,22.86,5.0,3.0,1.0
101445,2024-08-28 20:00:00,Corporate,South,Electronics,23.0,3.0,$1000.34,0.13,2610.89,5.0,2.0,9.69
100401,2024-03-07 20:00:00,Home Office,West,Office Supplies,64.0,3.0,$10.75,0.069,,4.1,4.0,10.26
100078,2024-01-14 00:00:00,Corporate,South,Electronics,31.0,5.0,$334.08,0.299,1170.95,4.5,4.0,3.66
100671,2024-04-21 20:00:00,Corporate,East,Furniture,21.0,2.0,$256.34,0.106,458.34,3.3,3.0,29.65
100248,2024-02-11 08:00:00,Consumer,South,Electronics,30.0,5.0,$62.82,0.185,255.99,3.5,3.0,
100153,2024-01-26 12:00:00,Corporate,West,Furniture,32.0,4.0,$824.06,0.051,3128.13,3.6,8.0,23.36
101207,2024-07-20 04:00:00,Consumer,North,Clothing,62.0,1.0,$71.54,0.115,63.31,5.0,20.0,
101004,2024-06-16 08:00:00,Corporate,North,Electronics,26.0,2.0,$706.86,0.129,1231.35,3.2,4.0,11.86
100152,2024-01-26 08:00:00,Consumer,West,Furniture,29.0,4.0,$142.35,0.311,392.32,5.0,7.0,
100667,2024-04-21 04:00:00,Home Office,North,Furniture,21.0,3.0,$187.18,0.158,472.82,5.0,1.0,18.97
100168,2024-01-29 00:00:00,Consumer,South,Office Supplies,47.0,5.0,$32.65,0.307,113.13,5.0,3.0,11.54
101925,2024-11-16 20:00:00,Consumer,East,Electronics,72.0,3.0,$650.28,0.19,1580.18,5.0,5.0,
100232,2024-02-08 16:00:00,Home Office,North,Office Supplies,18.0,3.0,$18.27,0.559,24.17,3.9,3.0,7.32
100292,2024-02-18 16:00:00,Home Office,East,Electronics,42.0,2.0,$101.34,0.136,175.12,4.2,4.0,10.98
101375,2024-08-17 04:00:00,Consumer,South,Office Supplies,69.0,5.0,$23.66,0.284,84.7,3.9,2.0,
100789,2024-05-11 12:00:00,Corporate,South,Office Supplies,26.0,4.0,$37.34,0.024,145.78,4.0,4.0,10.08
100202,2024-02-03 16:00:00,Consumer,Central,Electronics,29.0,4.0,$290.69,0.167,968.58,5.0,5.0,14.85
101401,2024-08-21 12:00:00,Consumer,West,Electronics,35.0,2.0,$151.97,0.068,283.27,4.4,6.0,8.96
100767,2024-05-07 20:00:00,Consumer,West,Office Supplies,54.0,4.0,$17.56,0.101,63.15,5.0,7.0,7.0
101628,2024-09-28 08:00:00,Consumer,East,Electronics,,4.0,$263.78,0.062,989.7,4.6,5.0,
100960,2024-06-09 00:00:00,Consumer,West,Electronics,52.0,4.0,$305.50,0.09,1112.02,5.0,6.0,8.74
100970,2024-06-10 16:00:00,Consumer,East,Office Supplies,28.0,4.0,$10.98,0.151,37.29,3.5,5.0,2.36
100945,2024-06-06 12:00:00,Consumer,South,Office Supplies,,5.0,$15.76,0.041,75.57,3.9,5.0,14.45
100939,2024-06-05 12:00:00,Consumer,North,Electronics,53.0,5.0,$298.38,0.058,1405.37,3.8,2.0,9.57
100942,2024-06-06 00:00:00,Consumer,West,Office Supplies,57.0,1.0,$17.42,0.34,11.5,3.1,7.0,
100069,2024-01-12 12:00:00,Consumer,East,Electronics,43.0,5.0,$231.45,0.134,1002.18,4.7,4.0,
100605,2024-04-10 20:00:00,Corporate,North,Furniture,50.0,3.0,$752.50,0.068,2103.99,5.0,3.0,21.29
100032,2024-01-06 08:00:00,Consumer,South,Office Supplies,21.0,5.0,$23.42,0.048,111.48,3.5,4.0,
100645,2024-04-17 12:00:00,Home Office,Central,Clothing,27.0,5.0,$31.78,0.028,154.45,5.0,3.0,
101045,2024-06-23 04:00:00,Consumer,Central,Clothing,33.0,1.0,$44.41,0.123,38.95,5.0,3.0,4.81
101074,2024-06-28 00:00:00,Home Office,West,Clothing,22.0,5.0,$71.66,0.344,235.04,2.4,6.0,
100668,2024-04-21 08:00:00,Consumer,East,Clothing,74.0,5.0,$103.18,0.109,459.67,,1.0,
101673,2024-10-05 20:00:00,Consumer,South,Office Supplies,19.0,1.0,$18.35,0.239,13.96,5.0,5.0,8.4
101885,2024-11-10 04:00:00,Consumer,North,Electronics,24.0,3.0,$420.41,0.049,1199.43,3.9,3.0,
100174,2024-01-30 00:00:00,Consumer,South,Office Supplies,24.0,1.0,$11.03,0.099,9.94,,4.0,
101114,2024-07-04 16:00:00,Home Office,East,Electronics,37.0,4.0,$294.23,0.049,1119.25,3.8,3.0,7.84
101861,2024-11-06 04:00:00,Home Office,North,Electronics,35.0,2.0,$179.22,0.328,240.87,4.0,3.0,
100171,2024-01-29 12:00:00,Consumer,South,Office Supplies,65.0,5.0,$18.77,0.214,73.77,5.0,5.0,
100196,2024-02-02 16:00:00,Corporate,North,Electronics,53.0,1.0,$335.51,0.188,272.43,4.5,4.0,7.85
101383,2024-08-18 12:00:00,Home Office,East,Electronics,53.0,1.0,$220.06,0.346,143.92,4.1,3.0,
100846,2024-05-21 00:00:00,Consumer,South,Electronics,55.0,3.0,$157.67,0.354,305.56,,2.0,1.93
101974,2024-11-25 00:00:00,Consumer,North,Clothing,52.0,5.0,$70.49,0.195,283.72,3.0,3.0,
101527,2024-09-11 12:00:00,Consumer,North,Electronics,30.0,4.0,$145.05,0.2,464.16,4.3,3.0,9.04
100827,2024-05-17 20:00:00,Consumer,North,Furniture,39.0,5.0,$481.64,0.217,1885.62,4.7,1.0,23.61
100959,2024-06-08 20:00:00,Consumer,Central,Office Supplies,29.0,2.0,$15.95,0.264,23.48,4.3,5.0,4.27
100810,2024-05-15 00:00:00,Consumer,North,Office Supplies,50.0,1.0,$25.91,0.215,20.34,4.0,4.0,3.46
101150,2024-07-10 16:00:00,Consumer,North,Office Supplies,,2.0,$12.86,0.131,22.35,4.2,3.0,
100219,2024-02-06 12:00:00,Consumer,South,Office Supplies,39.0,4.0,$24.65,0.173,81.54,5.0,3.0,4.74
100163,2024-01-28 04:00:00,Consumer,South,Furniture,29.0,1.0,$254.33,0.166,212.11,4.8,3.0,
101235,2024-07-24 20:00:00,Consumer,North,Office Supplies,36.0,5.0,$36.33,0.266,133.33,5.0,4.0,17.69
100472,2024-03-19 16:00:00,Consumer,West,Office Supplies,27.0,4.0,$18.72,0.068,69.79,2.9,2.0,11.58
101460,2024-08-31 08:00:00,Corporate,East,Office Supplies,27.0,4.0,$27.38,0.125,95.83,3.1,,10.72
101893,2024-11-11 12:00:00,Consumer,East,Office Supplies,70.0,4.0,$7.89,0.153,26.73,3.5,6.0,6.86
100105,2024-01-18 12:00:00,Corporate,West,Electronics,35.0,5.0,$234.44,0.067,1093.66,5.0,5.0,
100211,2024-02-05 04:00:00,Corporate,East,Furniture,57.0,5.0,$621.99,0.588,1281.3,5.0,4.0,
100373,2024-03-03 04:00:00,Consumer,South,Electronics,18.0,4.0,$350.49,0.227,1083.72,4.1,2.0,8.93
101912,2024-11-14 16:00:00,Home Office,West,Office Supplies,61.0,2.0,$24.41,0.24,37.1,4.8,5.0,5.83
100063,2024-01-11 12:00:00,Corporate,North,Office Supplies,32.0,3.0,$10.10,0.16,25.45,4.5,1.0,12.15
100156,2024-01-27 00:00:00,Consumer,North,Clothing,56.0,5.0,$22.98,0.222,89.39,4.5,3.0,
100638,2024-04-16 08:00:00,Corporate,West,Electronics,29.0,4.0,$281.04,0.327,756.56,4.2,5.0,12.99
100618,2024-04-13 00:00:00,Consumer,West,Furniture,73.0,1.0,$618.92,0.23,476.57,4.1,6.0,17.47
101591,2024-09-22 04:00:00,Consumer,South,Office Supplies,25.0,3.0,$31.60,0.032,91.77,2.6,5.0,5.68
101776,2024-10-23 00:00:00,Corporate,West,Office Supplies,46.0,4.0,$17.42,0.267,51.08,3.2,5.0,8.01
101941,2024-11-19 12:00:00,Consumer,North,Office Supplies,43.0,4.0,$13.63,0.352,35.33,4.4,2.0,12.98
101924,2024-11-16 16:00:00,Consumer,North,Office Supplies,38.0,4.0,$17.98,0.035,69.4,2.6,3.0,
101052,2024-06-24 08:00:00,Consumer,East,Office Supplies,68.0,1.0,$27.33,0.09,24.87,4.7,4.0,12.31
100581,2024-04-06 20:00:00,Consumer,West,Office Supplies,55.0,4.0,$3.93,0.034,15.19,3.0,4.0,5.11
101576,2024-09-19 16:00:00,Corporate,West,Clothing,64.0,4.0,$63.70,0.517,123.07,3.0,4.0,
101143,2024-07-09 12:00:00,Corporate,North,Clothing,57.0,3.0,$46.91,0.181,115.26,,3.0,10.07
100044,2024-01-08 08:00:00,Corporate,Central,Furniture,70.0,4.0,$643.09,0.136,2222.52,4.6,2.0,27.89
100052,2024-01-09 16:00:00,Corporate,East,Office Supplies,27.0,4.0,$19.24,0.397,46.41,,4.0,4.38
100261,2024-02-13 12:00:00,Corporate,Central,Clothing,73.0,2.0,$71.34,0.349,,,3.0,4.26
101597,2024-09-23 04:00:00,Consumer,Central,Furniture,37.0,3.0,$330.01,0.201,791.03,4.4,1.0,23.88
100440,2024-03-14 08:00:00,Home Office,Central,Electronics,44.0,3.0,$308.71,0.099,834.44,3.9,1.0,
101332,2024-08-10 00:00:00,Consumer,North,Electronics,35.0,4.0,$197.26,0.319,537.34,3.2,2.0,
100856,2024-05-22 16:00:00,Corporate,West,Furniture,54.0,1.0,$121.94,0.265,89.63,5.0,4.0,23.55
